"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"4290","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18292/2025-2026/177302","NANDED(DISTRICT COLLECTOR NANDED_IDA)","Dr. Ajeet Madhavrao Gopchade (2024-30) (2024-2030)","Elected MP","03-Feb-2026","MAULI CONSTRUCTION","Payment Success","1493148"
"4291","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18292/2025-2026/177606","NANDED(DISTRICT COLLECTOR NANDED_IDA)","Dr. Ajeet Madhavrao Gopchade (2024-30) (2024-2030)","Elected MP","03-Feb-2026","MAULI CONSTRUCTION","Payment Success","997152"
"4292","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18292/2025-2026/177300","NANDED(DISTRICT COLLECTOR NANDED_IDA)","Dr. Ajeet Madhavrao Gopchade (2024-30) (2024-2030)","Elected MP","27-Mar-2026","MAULI CONSTRUCTION","Payment Success","995607"
"4293","Rajasthan","Construction of public libraries and reading rooms","WS/MP18285/2024-2025/146346","JAISALMER(DISTRICT COLLECTOR JAISLAMER_IDA)","Shri Chunnilal Garasiya (2024-30) (2024-2030)","Elected MP","11-Feb-2026","SARPANCH SACHIV GRAM PANCHAYAT KANOD","Payment Success","471384"
"4294","Punjab","Construction of buildings for sports facilities","WS/MP141/2025-2026/213623","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","01-Feb-2026","MAA CHINTPURNI BUILDING MATERIAL","Payment Success","83160"
"4295","Punjab","Construction of buildings for sports facilities","WS/MP141/2025-2026/213623","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","01-Feb-2026","MAA CHINTPURNI BUILDING MATERIAL","Payment Success","54400"
"4296","Rajasthan","Construction of community centers and community halls","WS/MP18295/2025-2026/218286","BARMER(DISTRICT COLLECTOR BARMER_IDA)","Smt. Sonia Gandhi (2024-30) (2024-2030)","Elected MP","03-Feb-2026","MALAN SHAKTI CONSTRUCTION COMPANY","Payment Success","400000"
"4297","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18291/2025-2026/156556","AMRELI(DISTRICT COLLECTOR AMRELI_IDA)","Shri Govindbhai Laljibhai Dholakia (2024-30) (2024-2030)","Elected MP","03-Mar-2026","shree vandaliya gram panchayat","Payment Success","150000"
"4298","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18296/2025-2026/199843","KALABURAGI(DEPUTY COMMISSIONER GULBARGA_IDA)","Dr. Syed Naseer Hussain (2024-30) (2024-2030)","Elected MP","05-Feb-2026","SIDDARAM BELKOTI","Payment Success","6525000"
"4299","Uttarakhand","Development of playground","WS/MP850/2026-2027/269351","Charkhi Dadri(Deputy Commissioner Charkhi Dadri_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","12-Aug-2026","The Amit Co Operative Labour and Construction Society","Payment Success","217535"
"4300","Uttarakhand","Development of playground","WS/MP850/2026-2027/269351","Charkhi Dadri(Deputy Commissioner Charkhi Dadri_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","28-May-2026","The Amit Co Operative Labour and Construction Society","Payment Success","159560"
"4301","Uttarakhand","Development of playground","WS/MP850/2026-2027/269351","Charkhi Dadri(Deputy Commissioner Charkhi Dadri_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","24-Jun-2026","The Amit Co Operative Labour and Construction Society","Payment Success","188870"
"4302","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP842/2026-2027/287211","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Smt. P. T. Usha (2022-28) (2022-2028)","Nominated MP","20-Jun-2026","ANILKUMAR PT","Payment Success","599385"
