"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"4386","Uttar Pradesh","Construction of community centers and community halls","WS/MP201/2025-2026/254889","Siddharthnagar(DISTRICT MAGISTRATE SIDDHARTH NAGAR_IDA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","08-Apr-2026","ANIL RAI PRATHMIK VIDHYALAY","Payment Success","150000"
"4387","Uttar Pradesh","Construction of community centers and community halls","WS/MP201/2025-2026/254889","Siddharthnagar(DISTRICT MAGISTRATE SIDDHARTH NAGAR_IDA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","24-Jan-2026","ANIL RAI PRATHMIK VIDHYALAY","Payment Success","93200"
"4388","Uttar Pradesh","Construction of community centers and community halls","WS/MP201/2025-2026/254889","Siddharthnagar(DISTRICT MAGISTRATE SIDDHARTH NAGAR_IDA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","08-Jan-2026","ANIL RAI PRATHMIK VIDHYALAY","Payment Success","506800"
"4389","Uttar Pradesh","Construction of community centers and community halls","WS/MP201/2025-2026/255800","Siddharthnagar(DISTRICT MAGISTRATE SIDDHARTH NAGAR_IDA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","09-Feb-2026","ANIL RAI PRATHMIK VIDHYALAY","Payment Success","87150"
"4390","Uttar Pradesh","Construction of community centers and community halls","WS/MP201/2025-2026/254889","Siddharthnagar(DISTRICT MAGISTRATE SIDDHARTH NAGAR_IDA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","09-Feb-2026","ANIL RAI PRATHMIK VIDHYALAY","Payment Success","250000"
"4391","Uttar Pradesh","Construction of community centers and community halls","WS/MP201/2025-2026/255800","Siddharthnagar(DISTRICT MAGISTRATE SIDDHARTH NAGAR_IDA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","14-May-2026","ANIL RAI PRATHMIK VIDHYALAY","Payment Success","149850"
"4392","Uttar Pradesh","Construction of community centers and community halls","WS/MP201/2025-2026/254891","Siddharthnagar(DISTRICT MAGISTRATE SIDDHARTH NAGAR_IDA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","24-Jan-2026","ANIL RAI INTER COLLEGE","Payment Success","93200"
"4393","Uttar Pradesh","Construction of community centers and community halls","WS/MP201/2025-2026/255799","Siddharthnagar(DISTRICT MAGISTRATE SIDDHARTH NAGAR_IDA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","14-May-2026","ANIL RAI INTER COLLEGE","Payment Success","149850"
"4394","Uttar Pradesh","Construction of community centers and community halls","WS/MP201/2025-2026/254891","Siddharthnagar(DISTRICT MAGISTRATE SIDDHARTH NAGAR_IDA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","08-Jan-2026","ANIL RAI INTER COLLEGE","Payment Success","506800"
"4395","Uttar Pradesh","Construction of community centers and community halls","WS/MP201/2025-2026/255799","Siddharthnagar(DISTRICT MAGISTRATE SIDDHARTH NAGAR_IDA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","09-Feb-2026","ANIL RAI INTER COLLEGE","Payment Success","87150"
"4396","Uttar Pradesh","Construction of community centers and community halls","WS/MP201/2025-2026/254891","Siddharthnagar(DISTRICT MAGISTRATE SIDDHARTH NAGAR_IDA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","09-Feb-2026","ANIL RAI INTER COLLEGE","Payment Success","250000"
"4397","Uttar Pradesh","Construction of community centers and community halls","WS/MP201/2025-2026/255799","Siddharthnagar(DISTRICT MAGISTRATE SIDDHARTH NAGAR_IDA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","07-Mar-2026","ANIL RAI INTER COLLEGE","Payment Success","250000"
"4398","Uttar Pradesh","Construction of community centers and community halls","WS/MP201/2025-2026/254891","Siddharthnagar(DISTRICT MAGISTRATE SIDDHARTH NAGAR_IDA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","07-Apr-2026","ANIL RAI INTER COLLEGE","Payment Success","150000"
"4399","Uttar Pradesh","Construction of community centers and community halls","WS/MP201/2025-2026/255799","Siddharthnagar(DISTRICT MAGISTRATE SIDDHARTH NAGAR_IDA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","19-Jan-2026","ANIL RAI INTER COLLEGE","Payment Success","513000"
"4400","Punjab","Construction of culverts and bridges","WS/MP235/2025-2026/241415","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","10-Aug-2026","Shankar Hardware and Cement Store","Payment Success","49175"
"4401","Punjab","Construction of culverts and bridges","WS/MP235/2025-2026/241415","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","10-Aug-2026","Shankar Hardware and Cement Store","Payment Success","45012"
"4402","Punjab","Construction of culverts and bridges","WS/MP235/2025-2026/241415","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","10-Aug-2026","Shankar Hardware and Cement Store","Payment Success","30000"
"4403","Punjab","Construction of culverts and bridges","WS/MP235/2025-2026/241415","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","09-Apr-2026","Shankar Hardware and Cement Store","Payment Success","42975"
"4404","Punjab","Construction of culverts and bridges","WS/MP235/2025-2026/241415","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","09-Apr-2026","Shankar Hardware and Cement Store","Payment Success","47990"
"4405","Punjab","Construction of culverts and bridges","WS/MP235/2025-2026/241415","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","10-Aug-2026","Shankar Hardware and Cement Store","Payment Success","40251"
"4406","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP140/2025-2026/255050","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","19-Mar-2026","Shankar Hardware and Cement Store","Payment Success","49700"
"4407","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP140/2025-2026/255050","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","19-Mar-2026","Shankar Hardware and Cement Store","Payment Success","46100"
"4408","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP140/2025-2026/255050","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","19-Jun-2026","Shankar Hardware and Cement Store","Payment Success","8800"
