"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"40924","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2024-2025/138074","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","SANJNA JATAV","BHARATPUR(SC)","26-May-2025","Narendra singh","Payment Success","4275"
"40925","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2024-2025/138074","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","SANJNA JATAV","BHARATPUR(SC)","26-May-2025","Girdhari","Payment Success","4275"
"40926","Haryana","Construction of common work sheds/ common covered sitting area","WS/MP18065/2024-2025/135587","REWARI(District Commissioner Rewari)","DEEPENDER SINGH HOODA","ROHTAK","06-Jun-2025","The Sharda coop l and socity ltd","Payment Success","198644"
"40927","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2024-2025/138074","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","SANJNA JATAV","BHARATPUR(SC)","26-May-2025","Sona devi","Payment Success","4275"
"40928","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2024-2025/138074","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","SANJNA JATAV","BHARATPUR(SC)","26-May-2025","Dalchand","Payment Success","10500"
"40929","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2024-2025/138074","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","SANJNA JATAV","BHARATPUR(SC)","26-May-2025","Rajveer","Payment Success","10500"
"40930","Madhya Pradesh","Improvement of electricity distribution infrastructure","WS/MP360/2025-2026/187099","UJJAIN(DISTRICT COLLECTOR UJJAIN_IDA)","Shri Anil Firojiya","UJJAIN(SC)","07-Oct-2025","Gram Panchyat Runkheda","Payment Success","341449"
"40931","Madhya Pradesh","Improvement of electricity distribution infrastructure","WS/MP360/2025-2026/187099","UJJAIN(DISTRICT COLLECTOR UJJAIN_IDA)","Shri Anil Firojiya","UJJAIN(SC)","20-May-2025","Gram Panchyat Runkheda","Payment Success","400000"
"40932","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18222/2025-2026/237664","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","10-Jul-2026","SHIVAM CONSTRUCTION","Payment Success","368593"
"40933","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18222/2025-2026/237671","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","10-Jul-2026","SHIVAM CONSTRUCTION","Payment Success","245933"
"40934","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18222/2024-2025/165198","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","21-May-2025","SHIVAM CONSTRUCTION","Payment Success","691495"
"40935","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18222/2024-2025/165195","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","21-May-2025","SHIVAM CONSTRUCTION","Payment Success","468831"
"40936","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18222/2024-2025/170968","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","21-May-2025","SHIVAM CONSTRUCTION","Payment Success","161951"
"40937","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18222/2024-2025/165191","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","20-May-2025","SHIVAM CONSTRUCTION","Payment Success","330950"
"40938","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP579/2024-2025/162823","ANAND(District Collector ANAND_IDA)","Mitesh Rameshbhai Bakabhai Patel","ANAND","21-May-2025","ashipura grampanchyat","Payment Success","247186"
"40939","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP579/2024-2025/162826","ANAND(District Collector ANAND_IDA)","Mitesh Rameshbhai Bakabhai Patel","ANAND","21-May-2025","TARPURA GRAM PANCHYAT","Payment Success","242295"
"40940","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP579/2024-2025/162824","ANAND(District Collector ANAND_IDA)","Mitesh Rameshbhai Bakabhai Patel","ANAND","21-May-2025","bechari gram panchyat newww","Payment Success","448073"
"40941","Meghalaya","Construction of rooms and halls in school and colleges","WS/MP18137/2025-2026/161413","WEST JAINTIA HILLS(DEPUTY COMMISSIONER WEST JAINTIA HILLS JOWAI_IDA)","ANDREW J. SYNGKON","SHILLONG","26-Aug-2025","ST PETER SECONDARY SCHOOL BARATO","Payment Success","150000"
"40942","Meghalaya","Construction of rooms and halls in school and colleges","WS/MP18137/2025-2026/161413","WEST JAINTIA HILLS(DEPUTY COMMISSIONER WEST JAINTIA HILLS JOWAI_IDA)","ANDREW J. SYNGKON","SHILLONG","07-Jul-2025","ST PETER SECONDARY SCHOOL BARATO","Payment Success","150000"
"40943","Karnataka","Construction of bus-sheds or bus-stops","WS/MP18076/2025-2026/145727","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","DR C N MANJUNATH","BANGALORE RURAL","20-Jan-2026","BHEEMAPPA","Payment Success","499204"
"40944","Karnataka","Construction of bus-sheds or bus-stops","WS/MP18076/2025-2026/145728","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","DR C N MANJUNATH","BANGALORE RURAL","20-Jan-2026","BHEEMAPPA","Payment Success","499204"
"40945","Karnataka","Street lights","WS/MP18076/2025-2026/169753","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","DR C N MANJUNATH","BANGALORE RURAL","29-Jul-2025","BHEEMAPPA","Payment Success","249157"
"40946","West Bengal","Construction of community centers and community halls","WS/MP826/2025-2026/160383","DARJEELING(DISTRICT MAGISTRATE DARJEELING_IDA)","Raju Bista","DARJEELING","05-Mar-2026","Janak Prasad Sharma","Payment Success","439761"
"40947","West Bengal","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18257/2025-2026/183482","Purba Medinipur(DISTRICT MAGISTRATE PURBA MEDINIPUR_IDA)","ABHIJIT GANGOPADHYAY","TAMLUK","21-May-2025","Rupak Manna","Payment Success","348921"
"40948","Odisha","Construction of community centers and community halls","WS/MP370/2024-2025/145559","Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA)","Shri Jual Oram","SUNDARGARH (ST)","04-Jun-2025","Bharat Sahu","Payment Success","500000"
