"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"10747","Meghalaya","Construction of building for artificial insemination and breeding centers","WS/MP18137/2025-2026/233800","RI BHOI(DEPUTY COMMISSIONER RIBHOI NONGPOH_IDA)","ANDREW J. SYNGKON","SHILLONG","23-Mar-2026","Fermanus Syiemiong","Payment Success","750000"
"10748","Meghalaya","Construction of public toilets and bathrooms","WS/MP18137/2025-2026/233764","RI BHOI(DEPUTY COMMISSIONER RIBHOI NONGPOH_IDA)","ANDREW J. SYNGKON","SHILLONG","23-Mar-2026","Ribok Kharpran","Payment Success","150000"
"10749","Meghalaya","Construction of rooms and halls in school and colleges","WS/MP18137/2025-2026/233831","RI BHOI(DEPUTY COMMISSIONER RIBHOI NONGPOH_IDA)","ANDREW J. SYNGKON","SHILLONG","23-Mar-2026","Treibor Kharpan","Payment Success","150000"
"10750","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18131/2025-2026/206353","RATNAGIRI(District Collector Ratnagiri_IDA)","NARAYAN TATU RANE","RATNAGIRI-SINDHUDURG","24-Mar-2026","animesh narendra keer","Payment Success","500000"
"10751","Gujarat","Construction of boundary walls of existing public and community buildings","WS/MP18058/2025-2026/200784","VADODARA(DISTRICT COLLECTOR VADODARA_IDA)","DR. HEMANG JOSHI","VADODARA","06-Jul-2026","VAV JUTH GRAM PACHAYAT","Payment Success","500000"
"10752","Meghalaya","Construction of rooms and halls in school and colleges","WS/MP18137/2025-2026/233839","RI BHOI(DEPUTY COMMISSIONER RIBHOI NONGPOH_IDA)","ANDREW J. SYNGKON","SHILLONG","23-Mar-2026","Sumarlang Lyngdoh","Payment Success","375000"
"10753","Meghalaya","Construction of foot over bridge (FOB)","WS/MP18137/2025-2026/250844","RI BHOI(DEPUTY COMMISSIONER RIBHOI NONGPOH_IDA)","ANDREW J. SYNGKON","SHILLONG","23-Mar-2026","Sumarlang Lyngdoh","Payment Success","160000"
"10754","Gujarat","Construction of water tanks","WS/MP18054/2025-2026/236401","MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA)","HARIBHAI PATEL","MAHESANA","22-Jun-2026","GRAM PANCHAYAT JORNANG","Payment Success","199532"
"10755","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP577/2025-2026/223016","Dahod(DISTRICT COLLECTOR DOHAD_IDA)","Jaswantsinh Sumanbhai Bhabhor","DAHOD(ST)","25-Mar-2026","GRAM PANCHAYAT JAALAT","Payment Success","245955"
"10756","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP818/2025-2026/243658","ETAWAH(DISTRICT MAGISTRATE ETAWAH_IDA)","Smt Dimple Yadav","MAINPURI","21-Mar-2026","Ms Sudheer Traders","Payment Success","1747830"
"10757","Odisha","Construction of community centers and community halls","WS/MP370/2024-2025/145537","Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA)","Shri Jual Oram","SUNDARGARH (ST)","21-May-2026","RUPAK KUMAR PATEL","Payment Success","465107"
"10758","Odisha","Construction of community centers and community halls","WS/MP370/2024-2025/145536","Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA)","Shri Jual Oram","SUNDARGARH (ST)","23-Mar-2026","RUPAK KUMAR PATEL","Payment Success","183938"
"10759","Chhattisgarh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP429/2025-2026/242642","KORBA(Collector-Korba)","Jyotsna Charandas Mahant","KORBA","14-Jul-2026","CEO JP Pali sansad mad 18th","Payment Success","125000"
"10760","Chhattisgarh","Construction of common work sheds/ common covered sitting area","WS/MP429/2026-2027/270253","KORBA(Collector-Korba)","Jyotsna Charandas Mahant","KORBA","15-May-2026","CEO JP Pali sansad mad 18th","Payment Success","250000"
"10761","Chhattisgarh","Construction of common work sheds/ common covered sitting area","WS/MP429/2026-2027/275082","KORBA(Collector-Korba)","Jyotsna Charandas Mahant","KORBA","20-May-2026","CEO JP Pali sansad mad 18th","Payment Success","150000"
"10762","Chhattisgarh","Construction of additional rooms and halls in the existing public and community building","WS/MP429/2024-2025/156835","KORBA(Collector-Korba)","Jyotsna Charandas Mahant","KORBA","27-May-2026","CEO JP Pali sansad mad 18th","Payment Success","149975"
"10763","Chhattisgarh","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP429/2025-2026/246857","KORBA(Collector-Korba)","Jyotsna Charandas Mahant","KORBA","19-May-2026","CEO JP Pali sansad mad 18th","Payment Success","149735"
"10764","Chhattisgarh","Construction of common work sheds/ common covered sitting area","WS/MP429/2025-2026/208964","KORBA(Collector-Korba)","Jyotsna Charandas Mahant","KORBA","19-May-2026","CEO JP Pali sansad mad 18th","Payment Success","199948"
"10765","Chhattisgarh","Construction of buildings for community cultural activities","WS/MP429/2024-2025/155511","KORBA(Collector-Korba)","Jyotsna Charandas Mahant","KORBA","08-Apr-2026","CEO JP Pali sansad mad 18th","Payment Success","74770"
"10766","Chhattisgarh","Construction of footpaths and pedestrian ways","WS/MP429/2024-2025/155510","KORBA(Collector-Korba)","Jyotsna Charandas Mahant","KORBA","08-Apr-2026","CEO JP Pali sansad mad 18th","Payment Success","99861"
"10767","Chhattisgarh","Installing hand pumps","WS/MP429/2024-2025/151718","KORBA(Collector-Korba)","Jyotsna Charandas Mahant","KORBA","07-Apr-2026","CEO JP Pali sansad mad 18th","Payment Success","49675"
"10768","Chhattisgarh","Installing hand pumps","WS/MP429/2024-2025/155508","KORBA(Collector-Korba)","Jyotsna Charandas Mahant","KORBA","21-Apr-2026","CEO JP Pali sansad mad 18th","Payment Success","86344"
"10769","Chhattisgarh","Construction of community centers and community halls","WS/MP429/2025-2026/198903","KORBA(Collector-Korba)","Jyotsna Charandas Mahant","KORBA","24-Apr-2026","CEO JP Pali sansad mad 18th","Payment Success","175000"
"10770","Chhattisgarh","Construction of common work sheds/ common covered sitting area","WS/MP429/2026-2027/275080","KORBA(Collector-Korba)","Jyotsna Charandas Mahant","KORBA","22-Jun-2026","CEO JP Pali sansad mad 18th","Payment Success","75000"
"10771","Chhattisgarh","Construction of community centers and community halls","WS/MP429/2025-2026/193676","KORBA(Collector-Korba)","Jyotsna Charandas Mahant","KORBA","22-Jun-2026","CEO JP Pali sansad mad 18th","Payment Success","100000"
"10772","Chhattisgarh","Construction of common work sheds/ common covered sitting area","WS/MP429/2024-2025/156840","KORBA(Collector-Korba)","Jyotsna Charandas Mahant","KORBA","22-Jun-2026","CEO JP Pali sansad mad 18th","Payment Success","200000"
"10773","Maharashtra","Construction of buildings for community cultural activities","WS/MP18132/2025-2026/174562","SANGLI(DISTRICT COLLECTOR SANGLI_IDA)","VISHAL","SANGLI","14-Jul-2026","GANESH MAJUR SAHAKARI SANSTHALTD LINGNOOR","Payment Success","1000000"
"10774","Maharashtra","Construction of buildings for community cultural activities","WS/MP18132/2025-2026/174567","SANGLI(DISTRICT COLLECTOR SANGLI_IDA)","VISHAL","SANGLI","24-Mar-2026","GANESH MAJUR SAHAKARI SANSTHALTD LINGNOOR","Payment Success","995413"
"10775","Maharashtra","Construction of buildings for community cultural activities","WS/MP18132/2025-2026/174568","SANGLI(DISTRICT COLLECTOR SANGLI_IDA)","VISHAL","SANGLI","24-Mar-2026","SHRI BALAJI MAJUR SAHAKARI SANSTHA LTD","Payment Success","1000000"
"10776","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP353/2024-2025/143936","IDUKKI(DISTRICT COLLECTOR IDUKKI_IDA)","Adv Dean Kuriakose","IDUKKI","23-Mar-2026","GIMMY PAULOSE","Payment Success","877632"
"10777","Gujarat","Construction of footpaths and pedestrian ways","WS/MP18276/2025-2026/242189","VADODARA(DISTRICT COLLECTOR VADODARA_IDA)","JASHUBHAI BHILUBHAI RATHVA","CHHOTA UDAIPUR(ST)","03-Jul-2026","KANDA JUTH GRAM PANCHAYAT","Payment Success","250000"
"10778","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP351/2025-2026/169387","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Shri Kumbakudi Sudhakaran","KANNUR","19-Mar-2026","P SAJEEVAN","Payment Success","529092"
"10779","Chhattisgarh","Lighting of public spaces","WS/MP18051/2025-2026/261838","DHAMTARI(DISTRICT COLLECTOR DHAMTARI_IDA)","ROOP KUMARI CHOUDHARY","MAHASAMUND","19-Mar-2026","GRAM PANCHAYAT SANKRA","Payment Success","250000"
"10780","Chhattisgarh","Lighting of public spaces","WS/MP18051/2025-2026/261840","DHAMTARI(DISTRICT COLLECTOR DHAMTARI_IDA)","ROOP KUMARI CHOUDHARY","MAHASAMUND","19-Mar-2026","GRAM PANCHAYAT MONGRAGAHAN","Payment Success","250000"
"10781","Uttar Pradesh","Purchase of smart boards, visual display units and projectors","WS/MP18390/2025-2026/250968","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","AFZAL ANSARI","GHAZIPUR","18-Mar-2026","SKMBIC DILDARNAGAR","Payment Success","750000"
"10782","Punjab","Purchase of IT systems, including hardware and software for educational purposes","WS/MP18311/2025-2026/193422","CHANDIGARH(DEPUTY COMMISSIONER ZILLA PARISHAD CHANDIGARH_IDA)","MALVINDER SINGH KANG","ANANDPUR SAHIB","25-May-2026","SALASAR ENTERPRISES","Payment Success","33984"
"10783","Tamil Nadu","Installing community drinking water plants","WS/MP747/2025-2026/214893","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Manickam Tagore B","VIRUDHUNAGAR","18-Mar-2026","BLUENEST SERVICES","Payment Success","754628"
"10784","Punjab","Purchase of IT systems, including hardware and software for educational purposes","WS/MP18311/2025-2026/193422","CHANDIGARH(DEPUTY COMMISSIONER ZILLA PARISHAD CHANDIGARH_IDA)","MALVINDER SINGH KANG","ANANDPUR SAHIB","25-May-2026","SHREE JI ENTERPRISES","Payment Success","167790"
"10785","Gujarat","Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","WS/MP18057/2025-2026/228415","SURAT(DISTRICT COLLECTOR SURAT_IDA)","MUKESHKUMAR CHANDRAKAANT DALAL","SURAT","09-Apr-2026","CHHOTALA SAFETY PRODUCTS PVT LTD","Payment Success","119718"
"10786","Gujarat","Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","WS/MP18057/2025-2026/228416","SURAT(DISTRICT COLLECTOR SURAT_IDA)","MUKESHKUMAR CHANDRAKAANT DALAL","SURAT","09-Apr-2026","CHHOTALA SAFETY PRODUCTS PVT LTD","Payment Success","119718"
"10787","Gujarat","Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","WS/MP18057/2025-2026/228417","SURAT(DISTRICT COLLECTOR SURAT_IDA)","MUKESHKUMAR CHANDRAKAANT DALAL","SURAT","09-Apr-2026","CHHOTALA SAFETY PRODUCTS PVT LTD","Payment Success","119718"
"10788","Gujarat","Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","WS/MP18057/2025-2026/228422","SURAT(DISTRICT COLLECTOR SURAT_IDA)","MUKESHKUMAR CHANDRAKAANT DALAL","SURAT","09-Apr-2026","CHHOTALA SAFETY PRODUCTS PVT LTD","Payment Success","119718"
"10789","Gujarat","Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","WS/MP582/2025-2026/147364","SURAT(DISTRICT COLLECTOR SURAT_IDA)","Prabhubhai Nagarbhai Vasava","BARDOLI(ST)","23-Jun-2026","CHHOTALA SAFETY PRODUCTS PVT LTD","Payment Success","75000"
"10790","Meghalaya","Providing supply pipelines for drinking water","WS/MP18137/2026-2027/158691","EAST KHASI HILLS(Deputy Commissioner, East Khasi Hills District)","ANDREW J. SYNGKON","SHILLONG","20-May-2026","Dorbar Shnong Madan And Riat Laban","Payment Success","250000"
"10791","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18326/2025-2026/175573","MORBI(District collector Morbi_IDA)","CHANDUBHAI CHHAGANBHAI SHIHORA","SURENDRANAGAR","20-Mar-2026","GHANSHYAMPUR GRAM PANCHAYAT","Payment Success","299889"
"10792","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP380/2025-2026/213875","FATEHGARH SAHIB(DEPUTY COMMISSIONER FATEHGARH SAHIB_IDA)","Shri Amar Singh","FATEHGARH SAHIB(SC)","19-Mar-2026","AMANPREET SINGH","Payment Success","41130"
"10793","Maharashtra","Construction of common work sheds/ common covered sitting area","WS/MP18134/2025-2026/185069","Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA)","BHAUSAHEB RAJARAM WAKCHAURE","SHIRDI(SC)","26-Jun-2026","Sai Ganesh Majur Sah Sanstha Ltd Khambe","Payment Success","499060"
"10794","Haryana","Installing tube-wells and borewells","WS/MP591/2026-2027/232842","FARIDABAD(DEPUTY COMMISSIONER FARIDABAD_IDA)","Krishan Pal Gurjar","FARIDABAD","18-Jun-2026","Sameer Enterprises","Payment Success","1024958"
"10795","Haryana","Construction of stadiums","WS/MP591/2026-2027/259946","PALWAL(CEO DRDA MPLADS PALWAL)","Krishan Pal Gurjar","FARIDABAD","20-May-2026","Sameer Enterprises","Payment Success","538668"
"10796","Haryana","Construction of common work sheds/ common covered sitting area","WS/MP591/2025-2026/250267","PALWAL(CEO DRDA MPLADS PALWAL)","Krishan Pal Gurjar","FARIDABAD","13-Apr-2026","Sameer Enterprises","Payment Success","455221"
"10797","Haryana","Construction of community centers and community halls","WS/MP591/2025-2026/259504","PALWAL(CEO DRDA MPLADS PALWAL)","Krishan Pal Gurjar","FARIDABAD","13-Apr-2026","Sameer Enterprises","Payment Success","499954"
"10798","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18131/2025-2026/245063","SINDHUDURG(DISTRICT COLLECTOR SINDHUDURG_IDA)","NARAYAN TATU RANE","RATNAGIRI-SINDHUDURG","20-Mar-2026","SHASHANK PRAMOD LINGRAS","Payment Success","999000"
"10799","Haryana","Construction of community centers and community halls","WS/MP591/2026-2027/258829","FARIDABAD(DEPUTY COMMISSIONER FARIDABAD_IDA)","Krishan Pal Gurjar","FARIDABAD","19-May-2026","Mentiz Infratech India","Payment Success","675637"
"10800","Haryana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP591/2026-2027/258828","FARIDABAD(DEPUTY COMMISSIONER FARIDABAD_IDA)","Krishan Pal Gurjar","FARIDABAD","19-May-2026","Mentiz Infratech India","Payment Success","370233"
"10801","Haryana","Development of public parks","WS/MP591/2026-2027/278099","FARIDABAD(DEPUTY COMMISSIONER FARIDABAD_IDA)","Krishan Pal Gurjar","FARIDABAD","27-Jul-2026","Mentiz Infratech India","Payment Success","499620"
"10802","Haryana","Construction of community centers and community halls","WS/MP591/2026-2027/275646","FARIDABAD(DEPUTY COMMISSIONER FARIDABAD_IDA)","Krishan Pal Gurjar","FARIDABAD","27-Jul-2026","Mentiz Infratech India","Payment Success","721360"
"10803","Haryana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP591/2026-2027/254687","FARIDABAD(DEPUTY COMMISSIONER FARIDABAD_IDA)","Krishan Pal Gurjar","FARIDABAD","30-Jul-2026","Mentiz Infratech India","Payment Success","479994"
"10804","Haryana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP591/2026-2027/258828","FARIDABAD(DEPUTY COMMISSIONER FARIDABAD_IDA)","Krishan Pal Gurjar","FARIDABAD","13-Jul-2026","Mentiz Infratech India","Payment Success","254534"
"10805","Haryana","Construction of community centers and community halls","WS/MP591/2026-2027/258829","FARIDABAD(DEPUTY COMMISSIONER FARIDABAD_IDA)","Krishan Pal Gurjar","FARIDABAD","13-Jul-2026","Mentiz Infratech India","Payment Success","724220"
"10806","Haryana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP591/2025-2026/198789","PALWAL(CEO DRDA MPLADS PALWAL)","Krishan Pal Gurjar","FARIDABAD","05-May-2026","Mentiz Infratech India","Payment Success","1999984"
"10807","Haryana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP591/2026-2027/267496","PALWAL(CEO DRDA MPLADS PALWAL)","Krishan Pal Gurjar","FARIDABAD","02-Sep-2026","Mentiz Infratech India","Payment Success","1199870"
"10808","Haryana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP591/2026-2027/278795","PALWAL(CEO DRDA MPLADS PALWAL)","Krishan Pal Gurjar","FARIDABAD","11-Aug-2026","Mentiz Infratech India","Payment Success","312280"
"10809","Haryana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP591/2026-2027/272612","PALWAL(CEO DRDA MPLADS PALWAL)","Krishan Pal Gurjar","FARIDABAD","20-May-2026","Mentiz Infratech India","Payment Success","712959"
"10810","Haryana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP591/2026-2027/275285","PALWAL(CEO DRDA MPLADS PALWAL)","Krishan Pal Gurjar","FARIDABAD","14-Jul-2026","Mentiz Infratech India","Payment Success","1653277"
"10811","Punjab","Providing drains and gutters for public drainage","WS/MP18314/2025-2026/232843","SANGRUR(DEPUTY COMMISSIONER SANGRUR_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","17-Jun-2026","The Mangwal Coop Labour and Construction Society Limited","Payment Success","288896"
"10812","Arunachal Pradesh","Construction of water tanks","WS/MP533/2025-2026/260640","SIANG(Deputy Commisioner Siang_IDA)","Kiren Rijiju","ARUNACHAL WEST","20-Mar-2026","OPET TAGGU","Payment Success","200568"
"10813","Arunachal Pradesh","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP533/2025-2026/260048","PAPUM PARE(DEPUTY COMMISSIONER PAPUM PARE_IDA)","Kiren Rijiju","ARUNACHAL WEST","19-Mar-2026","T  R Enterprise","Payment Success","1500000"
"10814","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18124/2025-2026/226149","MUMBAI SUBURBAN(DISTRICT COLLECTOR MUMBAI SUBURBAN_IDA)","GAIKWAD VARSHA EKNATH","MUMBAI NORTH-CENTRAL","25-Mar-2026","Shailendra Hindurao Umbarkar","Payment Success","1798633"
"10815","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP588/2025-2026/252412","JAMNAGAR(DISTRICT COLLECTOR JAMNAGAR_IDA)","Smt Poonamben Hematbhai Maadam","JAMNAGAR","15-Apr-2026","RANJITPAR GRAM PANCHAYAT","Payment Success","399118"
"10816","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18089/2025-2026/181738","KOPPAL(DEPUTY COMMISSIONER KOPPAL_IDA)","K. RAJASHEKAR BASAVARAJ HITNAL","KOPPAL","20-Jun-2026","DEVENDRAPPA","Payment Success","122280"
"10817","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18089/2025-2026/181738","KOPPAL(DEPUTY COMMISSIONER KOPPAL_IDA)","K. RAJASHEKAR BASAVARAJ HITNAL","KOPPAL","26-Mar-2026","DEVENDRAPPA","Payment Success","375000"
"10818","Chhattisgarh","Construction of common work sheds/ common covered sitting area","WS/MP429/2026-2027/267257","KORBA(Collector-Korba)","Jyotsna Charandas Mahant","KORBA","02-Apr-2026","CEO Janpad Panchayat korba PMAGY","Payment Success","150000"
"10819","Chhattisgarh","Construction of buildings for community cultural activities","WS/MP429/2025-2026/247613","KORBA(Collector-Korba)","Jyotsna Charandas Mahant","KORBA","23-Mar-2026","CEO Janpad Panchayat korba PMAGY","Payment Success","200000"
"10820","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18112/2025-2026/233391","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","BALWANT BASWANT WANKHADE","AMRAVATI(SC)","20-Mar-2026","MOHD RIZWAN MOHD NAZIM","Payment Success","498615"
"10821","Madhya Pradesh","Construction of community centers and community halls","WS/	 MP443/2025-2026/274165","RAJGARH(DISTRICT COLLECTOR RAJGARH_IDA)","Rodmal Nagar","RAJGARH","25-Mar-2026","GP KUWAR KOTRI JP NARSINGARH","Payment Success","150000"
"10822","Madhya Pradesh","Construction of buildings for community cultural activities","WS/	 MP443/2025-2026/273714","RAJGARH(DISTRICT COLLECTOR RAJGARH_IDA)","Rodmal Nagar","RAJGARH","25-Mar-2026","GP MANDAWAR JP NARSINGARH","Payment Success","200000"
"10823","Telangana","Construction of additional rooms and halls in the existing public and community building","WS/MP18187/2026-2027/257690","ADILABAD(DISTRICT COLLECTOR ADILABAD_IDA)","GODAM NAGESH","ADILABAD(ST)","18-Jun-2026","Muthyala Sai Teja","Payment Success","452187"
"10824","Telangana","Construction of boundary walls of existing public and community buildings","WS/MP18187/2025-2026/222665","ADILABAD(DISTRICT COLLECTOR ADILABAD_IDA)","GODAM NAGESH","ADILABAD(ST)","20-Mar-2026","Muthyala Sai Teja","Payment Success","274723"
"10825","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18358/2025-2026/220841","GANJAM(DISTRICT COLLECTOR GANJAM_IDA)","ANITA SUBHADARSHINI","ASKA","25-Mar-2026","Sangram Keshari Behera","Payment Success","700000"
"10826","Arunachal Pradesh","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP533/2025-2026/226059","TAWANG(Deputy Commisioner Tawang_IDA)","Kiren Rijiju","ARUNACHAL WEST","23-Jul-2026","MS  NIMA ENTERPRISES","Payment Success","21771"
"10827","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP323/2025-2026/194742","JUNAGADH(DISTRICT COLLECTOR JUNAGADH_IDA)","Rajeshbhai Naranbhai Chudasama","JUNAGADH","20-Mar-2026","Gram Panchayat Virpur","Payment Success","300000"
"10828","Uttar Pradesh","Construction of rooms and halls in school and colleges","WS/MP18390/2025-2026/253764","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","AFZAL ANSARI","GHAZIPUR","25-Mar-2026","MAHIC GHAZIPUR","Payment Success","750000"
"10829","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18006/2025-2026/248075","CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA)","DAGGUMALLA PRASADA RAO","CHITTOOR","23-Mar-2026","MANSHITH CONSTRUCTIONS PRIVATE LIMITTED","Payment Success","487961"
"10830","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18006/2025-2026/248074","CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA)","DAGGUMALLA PRASADA RAO","CHITTOOR","23-Mar-2026","MANSHITH CONSTRUCTIONS PRIVATE LIMITTED","Payment Success","306421"
"10831","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP381/2025-2026/228108","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Shri Gurjeet Singh Aujla","AMRITSAR","27-Mar-2026","BABA DAYA SINGH BKO","Payment Success","21000"
"10832","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18122/2025-2026/173902","Chhatrapati Sambhajinagar(DISTRICT COLLECTOR AURANGABAD_IDA)","KALYAN VAIJINATHRAO KALE","JALNA","26-Mar-2026","HIVRA M S S LTD CHHATRAPATI SAMBHAJINAGAR","Payment Success","989809"
"10833","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP381/2025-2026/228108","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Shri Gurjeet Singh Aujla","AMRITSAR","27-Mar-2026","BHILLOWAL TRADERS","Payment Success","82820"
"10834","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18113/2025-2026/226274","Chhatrapati Sambhajinagar(DISTRICT COLLECTOR AURANGABAD_IDA)","BHUMARE SANDIPANRAO ASARAM","AURANGABAD_MH","19-Mar-2026","PARAG SUNIL GAUD","Payment Success","999000"
"10835","Odisha","Construction of community centers and community halls","WS/MP18310/2025-2026/197084","BHADRAK(DISTRICT COLLECTOR BHADRAK_IDA)","AVIMANYU SETHI","BHADRAK(SC)","19-Mar-2026","PURNA CHANDRA SAMAL","Payment Success","218809"
"10836","Odisha","Construction of community centers and community halls","WS/MP18310/2025-2026/197084","BHADRAK(DISTRICT COLLECTOR BHADRAK_IDA)","AVIMANYU SETHI","BHADRAK(SC)","23-Jun-2026","PURNA CHANDRA SAMAL","Payment Success","81191"
"10837","Madhya Pradesh","Construction of common work sheds/ common covered sitting area","WS/MP18103/2025-2026/238978","GWALIOR(DISTRICT COLLECTOR GWALIOR_IDA)","BHARAT SINGH KUSHWAH","GWALIOR","21-Mar-2026","S R CONSTRUCTION","Payment Success","265657"
"10838","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18103/2025-2026/238995","GWALIOR(DISTRICT COLLECTOR GWALIOR_IDA)","BHARAT SINGH KUSHWAH","GWALIOR","25-May-2026","S R CONSTRUCTION","Payment Success","579058"
"10839","Haryana","Purchase of ambulance to transport sick and injured animals","WS/MP329/2025-2026/254154","BHIWANI(DC Cum Nodal Officer MPLADS Bhiwani)","Shri  Dharambir Singh","BHIWANI MAHENDRAGARH","24-Mar-2026","Supreme Mobiles Pvt Ltd","Payment Success","1100000"
"10840","Haryana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18067/2025-2026/203418","SONIPAT(DEPUTY COMMISSIONER SONEPAT_IDA)","SATPAL BRAHAMCHARI","SONEPAT","19-Mar-2026","THE SUNRISE CO OP L AND C SOCIETY LTD","Payment Success","375732"
"10841","Uttar Pradesh","Construction of rooms and halls in school and colleges","WS/MP18199/2025-2026/233560","AMBEDKAR NAGAR(DISTRICT MAGISTRATE AMBEDKAR NAGAR_IDA)","LALJI VERMA","AMBEDKAR NAGAR","20-Mar-2026","SARVODYA INTER COLLEGE KOTWA MUHAMMADPUR","Payment Success","300000"
"10842","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP578/2025-2026/214266","NARMADA(DISTRICT COLLECTOR NARMADA_IDA)","Mansukhbhai Dhanjibhai Vasava","BHARUCH","20-Mar-2026","DUMKHAL GROUP GRAM PANCHAYAT","Payment Success","198460"
"10843","Uttar Pradesh","Construction of rooms and halls in school and colleges","WS/MP18199/2025-2026/227892","AMBEDKAR NAGAR(DISTRICT MAGISTRATE AMBEDKAR NAGAR_IDA)","LALJI VERMA","AMBEDKAR NAGAR","25-Mar-2026","HAJI NOORULLAH J H SCHOOL ILTIFATGANJ","Payment Success","300000"
"10844","Maharashtra","Construction of common work sheds/ common covered sitting area","WS/MP18308/2025-2026/244717","MUMBAI SUBURBAN(DISTRICT COLLECTOR MUMBAI SUBURBAN_IDA)","RAVINDRA DATTARAM WAIKAR","MUMBAI NORTH WEST","25-Mar-2026","Jarimari labour co op society ltd","Payment Success","1498335"
"10845","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18122/2024-2025/181794","JALNA(DISTRICT COLLECTOR JALNA_IDA)","KALYAN VAIJINATHRAO KALE","JALNA","22-Mar-2026","Atmanand Mss ltd Avana","Payment Success","989553"
"10846","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18323/2025-2026/146867","NANDED(DISTRICT COLLECTOR NANDED_IDA)","DR KALGE SHIVAJI BANDAPPA","LATUR(SC)","26-Mar-2026","GRAM PANCHAYAT KARYALAYA NAVRANGPURA KANDHAR NANDED","Payment Success","990848"
